Month,No. of Banks live on UPI,Volume (in Mn),Value (in Cr.),Avg_Txn_Value_INR,MoM_Growth_Volume_%,MoM_Growth_Value_%
Nov-17,61,105.02,9669.33,920.713,36.460,? 37.002
Oct-17,60,76.96,7057.78,917.071,148.418,? 32.520
Sep-17,57,30.98,5325.81,1719.112,84.405,? 28.128
Aug-17,55,16.8,4156.62,2474.179,44.454,? 21.847
Jul-17,53,11.63,3411.35,2933.233,12.367,? 10.102
Jun-17,52,10.35,3098.36,2993.585,10.577,? 10.772
May-17,49,9.36,2797.07,2988.323,30.000,? 23.152
Apr-17,48,7.2,2271.24,3154.500,13.030,-? 6.346
Mar-17,44,6.37,2425.14,3807.127,45.434,? 25.155
Feb-17,44,4.38,1937.71,4423.995,-1.794,? 14.237
Jan-17,36,4.46,1696.22,3803.184,124.121,? 139.603
Dec-16,35,1.99,707.93,3557.437,586.207,? 604.688
Nov-16,30,0.29,100.46,3464.138,190.000,? 106.835
Oct-16,26,0.1,48.57,4857.000,11.111,? 48.805
Sep-16,25,0.09,32.64,3626.667,0.000,? 956.311
Aug-16,21,0.09,3.09,343.333,0.000,? 713.158
Jul-16,21,0.09,0.38,42.222,0.000,? 0.000
Jun-16,21,0,0,0.000,0.000,? 0.000
May-16,21,0,0,0.000,0.000,? 0.000
Apr-16,21,0,0,0.000,0.000,? 0.000
